City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,manggar,-2.88,108.27,79.74,84,60,9.89,ID,1593729509
161,beloha,-25.17,45.05,57.63,86,0,6.89,MG,1593729509
162,ilulissat,69.22,-51.1,50.0,61,20,5.82,GL,1593729509
163,airai,-8.93,125.41,57.11,86,38,4.68,TL,1593729509
164,gigmoto,13.78,124.39,82.78,75,65,1.72,PH,1593729509
165,ixtapa,20.7,-105.2,87.8,70,90,11.41,MX,1593729509
166,fukue,32.69,128.84,75.94,77,100,9.1,JP,1593729509
167,halle,51.5,12.0,64.0,100,40,5.82,DE,1593729509
168,adrar,20.5,-10.07,96.85,15,41,3.87,MR,1593729509
169,san patricio,19.22,-104.7,86.0,74,75,11.41,MX,1593729510
170,safaga,26.73,33.94,89.6,14,0,10.29,EG,1593729510
171,honiara,-9.43,159.95,80.6,83,75,2.24,SB,1593729510
172,timmins,48.47,-81.33,77.0,73,75,8.05,CA,1593729459
173,meulaboh,4.14,96.13,77.31,87,100,5.3,ID,1593729510
174,salalah,17.02,54.09,82.4,94,75,9.17,OM,1593729510
175,souillac,-20.52,57.52,69.8,88,75,16.11,MU,1593729510
176,narsaq,60.92,-46.05,55.4,35,75,2.24,GL,1593729510
177,chokurdakh,70.63,147.92,40.86,76,100,17.83,RU,1593729510
178,nouna,12.73,-3.87,89.87,43,65,5.91,BF,1593729510
179,kita,13.03,-9.49,78.35,75,76,3.4,ML,1593729510
180,vostok,46.49,135.88,66.0,46,37,1.41,RU,1593729510
181,mgachi,51.05,142.27,58.96,65,16,11.9,RU,1593729510
182,fez,34.04,-5.0,77.0,53,69,11.41,MA,1593729510
183,rio claro,-22.41,-47.56,53.71,68,0,2.01,BR,1593729437
184,xining,36.62,101.77,52.97,83,100,2.39,CN,1593729510
185,okha,53.57,142.95,52.23,78,100,13.29,RU,1593729511
186,toktogul,41.87,72.94,60.21,54,0,1.28,KG,1593729511
187,palauig,15.44,119.9,82.2,71,88,4.63,PH,1593729511
188,copiapo,-27.37,-70.33,57.2,82,35,8.05,CL,1593729511
189,severo-kurilsk,50.68,156.12,46.27,89,91,7.9,RU,1593729511
190,enshi,30.3,109.48,71.83,84,75,0.96,CN,1593729511
191,roma,43.21,-75.46,86.0,48,40,16.11,US,1593729511
192,jeremoabo,-10.07,-38.48,67.78,89,9,5.5,BR,1593729511
193,florianopolis,-27.61,-48.5,55.4,66,75,8.05,BR,1593729511
194,nyurba,63.28,118.33,63.84,47,18,11.56,RU,1593729511
195,berezovyy,51.67,135.7,76.23,40,45,9.04,RU,1593729511
196,bethel,41.37,-73.41,90.0,40,1,8.05,US,1593729273
197,koumac,-20.57,164.28,69.82,62,55,10.02,NC,1593729511
198,cap malheureux,-19.98,57.61,68.0,82,11,3.0,MU,1593729511
199,bilibino,68.05,166.44,41.36,83,100,5.64,RU,1593729511
200,broome,42.25,-75.83,82.4,45,75,9.17,US,1593729511
201,katherine,-14.47,132.27,64.4,77,0,5.82,AU,1593729512
202,khatanga,71.97,102.5,60.3,50,80,8.72,RU,1593729512
203,vardo,70.37,31.11,42.8,81,40,5.82,NO,1593729512
204,luwuk,-0.95,122.79,76.98,81,100,6.87,ID,1593729512
205,aasiaat,68.71,-52.87,42.84,73,15,7.74,GL,1593729512
206,san cristobal,7.77,-72.22,82.4,58,40,16.11,VE,1593729412
207,victoria,22.29,114.16,82.0,83,100,5.99,HK,1593729401
208,pasighat,28.07,95.33,77.45,88,98,1.88,IN,1593729512
209,ponta do sol,32.67,-17.1,71.6,68,20,12.75,PT,1593729512
210,nador,35.17,-2.93,86.0,25,81,13.87,MA,1593729512
211,kalabo,-14.97,22.68,53.06,48,0,5.79,ZM,1593729512
212,hotton,50.27,5.45,57.2,76,26,9.17,BE,1593729512
